month,day,hour,energy
1,1,1,1950
1,1,2,1935
1,1,3,1916
1,1,4,1846
1,1,5,1820
1,1,6,1813
1,1,7,1900
1,1,8,1948
1,1,9,1259
1,1,10,1111
1,1,11,947
1,1,12,415
1,1,13,156
1,1,14,104
1,1,15,257
1,1,16,663
1,1,17,737
1,1,18,496
1,1,19,530
1,1,20,839
1,1,21,1634
1,1,22,1840
1,1,23,1669
1,1,24,1616
1,2,1,2089
1,2,2,2156
1,2,3,2083
1,2,4,1991
1,2,5,2067
1,2,6,2200
1,2,7,2215
1,2,8,2118
1,2,9,1910
1,2,10,920
1,2,11,320
1,2,12,236
1,2,13,224
1,2,14,272
1,2,15,413
1,2,16,1122
1,2,17,2002
1,2,18,1742
1,2,19,1934
1,2,20,1857
1,2,21,1730
1,2,22,1550
1,2,23,1939
1,2,24,1872
1,3,1,1915
1,3,2,1923
1,3,3,1989
1,3,4,2031
1,3,5,2073
1,3,6,2240
1,3,7,2217
1,3,8,2311
1,3,9,1989
1,3,10,1476
1,3,11,1374
1,3,12,1327
1,3,13,1286
1,3,14,1056
1,3,15,1157
1,3,16,1832
1,3,17,1814
1,3,18,1567
1,3,19,1658
1,3,20,1899
1,3,21,1878
1,3,22,1879
1,3,23,2212
1,3,24,1921
1,4,1,1815
1,4,2,1389
1,4,3,1441
1,4,4,1385
1,4,5,1344
1,4,6,917
1,4,7,974
1,4,8,84
1,4,9,-168
1,4,10,-204
1,4,11,-199
1,4,12,-49
1,4,13,-138
1,4,14,105
1,4,15,222
1,4,16,614
1,4,17,878
1,4,18,729
1,4,19,887
1,4,20,1108
1,4,21,1142
1,4,22,1164
1,4,23,995
1,4,24,1466
1,5,1,1846
1,5,2,1582
1,5,3,1535
1,5,4,1479
1,5,5,1528
1,5,6,1251
1,5,7,1010
1,5,8,458
1,5,9,-101
1,5,10,-598
1,5,11,-509
1,5,12,-312
1,5,13,-331
1,5,14,-406
1,5,15,-375
1,5,16,5
1,5,17,433
1,5,18,510
1,5,19,770
1,5,20,872
1,5,21,836
1,5,22,708
1,5,23,1155
1,5,24,1309
1,6,1,1752
1,6,2,1505
1,6,3,1490
1,6,4,1534
1,6,5,1604
1,6,6,1707
1,6,7,1501
1,6,8,1388
1,6,9,126
1,6,10,616
1,6,11,308
1,6,12,161
1,6,13,141
1,6,14,176
1,6,15,63
1,6,16,776
1,6,17,1071
1,6,18,889
1,6,19,1118
1,6,20,1420
1,6,21,1558
1,6,22,1061
1,6,23,1002
1,6,24,878
1,7,1,1565
1,7,2,1603
1,7,3,1427
1,7,4,1448
1,7,5,1497
1,7,6,1820
1,7,7,1522
1,7,8,1026
1,7,9,769
1,7,10,651
1,7,11,465
1,7,12,189
1,7,13,64
1,7,14,248
1,7,15,351
1,7,16,966
1,7,17,937
1,7,18,1028
1,7,19,1071
1,7,20,1063
1,7,21,1128
1,7,22,1329
1,7,23,1552
1,7,24,1303
1,8,1,427
1,8,2,499
1,8,3,589
1,8,4,611
1,8,5,850
1,8,6,1698
1,8,7,1670
1,8,8,1736
1,8,9,1010
1,8,10,966
1,8,11,426
1,8,12,297
1,8,13,129
1,8,14,35
1,8,15,268
1,8,16,1388
1,8,17,1590
1,8,18,1372
1,8,19,1732
1,8,20,2087
1,8,21,2089
1,8,22,2226
1,8,23,1792
1,8,24,1783
1,9,1,2264
1,9,2,2221
1,9,3,1999
1,9,4,1942
1,9,5,1844
1,9,6,2095
1,9,7,2279
1,9,8,2247
1,9,9,1560
1,9,10,1286
1,9,11,1121
1,9,12,528
1,9,13,368
1,9,14,393
1,9,15,454
1,9,16,1224
1,9,17,2363
1,9,18,1935
1,9,19,2084
1,9,20,2242
1,9,21,2073
1,9,22,2394
1,9,23,2387
1,9,24,2195
1,10,1,2243
1,10,2,2129
1,10,3,2125
1,10,4,2143
1,10,5,2227
1,10,6,2360
1,10,7,2158
1,10,8,1948
1,10,9,1379
1,10,10,1367
1,10,11,1491
1,10,12,1512
1,10,13,1306
1,10,14,1495
1,10,15,1618
1,10,16,1813
1,10,17,2118
1,10,18,1969
1,10,19,2095
1,10,20,2035
1,10,21,1931
1,10,22,1777
1,10,23,1576
1,10,24,1515
1,11,1,1196
1,11,2,1237
1,11,3,1137
1,11,4,1263
1,11,5,1664
1,11,6,2166
1,11,7,2149
1,11,8,1859
1,11,9,791
1,11,10,637
1,11,11,475
1,11,12,189
1,11,13,56
1,11,14,16
1,11,15,321
1,11,16,1091
1,11,17,1372
1,11,18,1932
1,11,19,1901
1,11,20,1752
1,11,21,1449
1,11,22,1270
1,11,23,1127
1,11,24,1033
1,12,1,1530
1,12,2,1683
1,12,3,1699
1,12,4,1534
1,12,5,1879
1,12,6,2251
1,12,7,2228
1,12,8,2074
1,12,9,1105
1,12,10,1343
1,12,11,1257
1,12,12,721
1,12,13,391
1,12,14,566
1,12,15,1033
1,12,16,1171
1,12,17,2018
1,12,18,2084
1,12,19,2156
1,12,20,1973
1,12,21,2053
1,12,22,1717
1,12,23,1891
1,12,24,1904
1,13,1,1847
1,13,2,2020
1,13,3,1656
1,13,4,1645
1,13,5,1872
1,13,6,1933
1,13,7,2660
1,13,8,2547
1,13,9,2034
1,13,10,1698
1,13,11,2007
1,13,12,2023
1,13,13,1998
1,13,14,1899
1,13,15,1889
1,13,16,1605
1,13,17,2396
1,13,18,2394
1,13,19,2352
1,13,20,2327
1,13,21,2053
1,13,22,1626
1,13,23,1638
1,13,24,1467
1,14,1,1515
1,14,2,1506
1,14,3,1479
1,14,4,1422
1,14,5,1533
1,14,6,1691
1,14,7,2384
1,14,8,2570
1,14,9,1662
1,14,10,1321
1,14,11,1304
1,14,12,802
1,14,13,598
1,14,14,534
1,14,15,1026
1,14,16,999
1,14,17,2165
1,14,18,2625
1,14,19,2364
1,14,20,2175
1,14,21,1583
1,14,22,971
1,14,23,1349
1,14,24,1451
1,15,1,1049
1,15,2,1019
1,15,3,1054
1,15,4,1061
1,15,5,1456
1,15,6,1845
1,15,7,1894
1,15,8,1816
1,15,9,1551
1,15,10,1359
1,15,11,921
1,15,12,618
1,15,13,393
1,15,14,327
1,15,15,434
1,15,16,1537
1,15,17,1883
1,15,18,2461
1,15,19,2450
1,15,20,1895
1,15,21,1636
1,15,22,1406
1,15,23,2107
1,15,24,2033
1,16,1,1865
1,16,2,1703
1,16,3,1246
1,16,4,1232
1,16,5,1615
1,16,6,1818
1,16,7,2076
1,16,8,1997
1,16,9,1048
1,16,10,197
1,16,11,69
1,16,12,332
1,16,13,360
1,16,14,309
1,16,15,497
1,16,16,726
1,16,17,2223
1,16,18,2243
1,16,19,2289
1,16,20,2255
1,16,21,2110
1,16,22,1720
1,16,23,1919
1,16,24,1920
1,17,1,1756
1,17,2,1679
1,17,3,1571
1,17,4,1399
1,17,5,1706
1,17,6,1887
1,17,7,1851
1,17,8,2011
1,17,9,1621
1,17,10,1240
1,17,11,1487
1,17,12,1101
1,17,13,976
1,17,14,947
1,17,15,990
1,17,16,1582
1,17,17,2130
1,17,18,2029
1,17,19,2116
1,17,20,1936
1,17,21,1666
1,17,22,1278
1,17,23,1407
1,17,24,1197
1,18,1,746
1,18,2,247
1,18,3,174
1,18,4,361
1,18,5,492
1,18,6,1532
1,18,7,1708
1,18,8,1880
1,18,9,1248
1,18,10,742
1,18,11,155
1,18,12,35
1,18,13,-86
1,18,14,-153
1,18,15,17
1,18,16,958
1,18,17,1723
1,18,18,1972
1,18,19,2092
1,18,20,2080
1,18,21,1938
1,18,22,1588
1,18,23,1737
1,18,24,1692
1,19,1,1338
1,19,2,1132
1,19,3,931
1,19,4,1127
1,19,5,1399
1,19,6,1794
1,19,7,2314
1,19,8,2340
1,19,9,1572
1,19,10,835
1,19,11,448
1,19,12,244
1,19,13,244
1,19,14,39
1,19,15,133
1,19,16,922
1,19,17,2169
1,19,18,2353
1,19,19,2343
1,19,20,2292
1,19,21,1815
1,19,22,1640
1,19,23,1561
1,19,24,1746
1,20,1,1198
1,20,2,982
1,20,3,988
1,20,4,962
1,20,5,1182
1,20,6,1524
1,20,7,1692
1,20,8,1616
1,20,9,1031
1,20,10,-249
1,20,11,-483
1,20,12,-380
1,20,13,-436
1,20,14,-571
1,20,15,-700
