"num", "tmp", "wkd"
16 22.2 "1"
9 13.3 "0"
4 9 "0"
15 19.3 "0"
5 9 "0"
14 18.4 "0"
5 5.4 "0"
7 7.4 "0"
7 3.1 "0"
7 10.2 "0"
2 3.7 "0"
15 19.1 "1"
12 5.9 "0"
8 3.5 "0"
20 22.9 "0"
15 19.1 "0"
12 11.7 "1"
12 13.9 "0"
9 13 "0"
3 2.8 "0"
9 19.3 "1"
5 4.4 "0"
15 21.6 "1"
14 16.7 "0"
15 21.2 "0"
11 5.4 "0"
16 24.3 "0"
5 5.5 "0"
7 2.2 "1"
14 11.4 "0"
20 24.2 "1"
12 13.9 "0"
24 24.1 "0"
7 6.7 "0"
5 4.6 "0"
12 16.3 "1"
22 22.9 "1"
5 4 "0"
7 5.8 "0"
4 5.7 "1"
5 10.1 "1"
16 24.3 "1"
8 9.9 "1"
7 7.4 "0"
14 19.2 "0"
24 26.1 "0"
9 3.6 "1"
1 7.1 "1"
11 18.4 "0"
6 6.2 "0"
17 24.3 "0"
25 24.7 "0"
7 2.3 "0"
2 7.5 "1"
5 5.9 "0"
19 18.6 "0"
19 21.4 "0"
12 16.7 "0"
14 20 "1"
12 18.7 "0"
17 22.3 "1"
6 3.1 "1"
8 12.9 "0"
17 21 "0"
8 7.1 "0"
9 13.7 "1"
24 23.6 "0"
10 13.6 "0"
18 13.6 "0"
11 15.1 "0"
5 5.6 "1"
9 6.7 "0"
10 19.9 "0"
9 17.7 "0"
3 4.5 "0"
11 16.9 "0"
15 13.4 "0"
24 25 "0"
4 4.3 "0"
14 20.7 "0"
10 8.5 "0"
7 6.9 "0"
9 5.1 "0"
23 26.4 "1"
7 8.8 "1"
7 7.9 "1"
16 10.6 "0"
15 19.7 "1"
22 22.7 "0"
5 5.6 "0"
4 8.1 "0"
15 22.4 "1"
25 26.5 "1"
33 24.9 "0"
21 22.5 "0"
11 17.1 "1"
5 10.5 "1"
5 6.3 "0"
5 4.7 "0"
21 24.5 "0"
14 15.8 "0"
16 11.9 "0"
3 5.3 "0"
11 12.9 "1"
16 18 "0"
5 4.4 "1"
14 12.8 "0"
4 3.9 "0"
7 9.9 "1"
31 24.9 "0"
22 23.7 "0"
13 14 "0"
16 15.2 "0"
3 3.2 "0"
10 5.9 "0"
8 8.5 "1"
5 2.2 "0"
7 4.2 "0"
10 26.4 "1"
7 7 "0"
31 24.4 "0"
9 14.1 "1"
4 6.2 "0"
4 9.9 "0"
7 13.6 "0"
21 24.3 "0"
12 13.8 "0"
10 17.5 "0"
4 3.7 "1"
18 19.7 "1"
17 19.5 "1"
26 22.2 "0"
4 4.4 "0"
8 10.5 "0"
14 16 "0"
4 6.3 "0"
5 10.9 "0"
10 8.2 "1"
15 14.3 "0"
14 16.1 "0"
22 26.3 "0"
18 21.4 "1"
13 15.6 "0"
10 13.8 "0"
8 4.9 "0"
4 11 "1"
16 25.6 "1"
24 21.4 "0"
5 8.2 "0"
6 11.6 "0"
13 12.6 "0"
10 10.6 "0"
12 14 "0"
20 24.5 "1"
7 5.8 "0"
11 5.1 "0"
22 18.5 "0"
13 15.5 "0"
16 19 "1"
21 23.4 "0"
19 24.6 "0"
16 26.8 "1"
19 18 "0"
10 8.7 "1"
20 17.6 "0"
17 21.8 "0"
10 3.7 "0"
30 25.9 "0"
8 11.8 "0"
13 16.2 "0"
10 5.1 "1"
9 9.7 "1"
20 22 "0"
5 8 "0"
5 9.6 "1"
10 11.9 "0"
7 2.2 "1"
3 5.6 "1"
9 16.8 "0"
21 22.7 "0"
3 2.7 "1"
15 19.3 "0"
7 12.5 "0"
14 22.5 "0"
4 7.2 "0"
24 26.2 "0"
14 19.3 "1"
12 15.8 "1"
13 13.2 "0"
17 22.7 "0"
23 26.2 "0"
6 6.8 "1"
9 12 "0"
11 13.4 "0"
16 18.6 "0"
10 9.1 "0"
19 22.6 "0"
21 23.7 "0"
22 22.2 "0"
8 11.1 "0"
9 14.2 "0"
5 8.5 "0"
10 7.5 "0"
12 19.7 "0"
5 3.1 "0"
10 14.9 "1"
7 4.3 "0"
21 25.7 "0"
12 12.2 "0"
8 4.5 "0"
5 8.9 "1"
11 12.6 "0"
25 23.9 "0"
21 23.5 "0"
10 20.3 "1"
16 19.4 "0"
15 19.1 "1"
22 19.5 "0"
17 19.7 "0"
15 23.1 "0"
20 19.7 "0"
29 26.7 "0"
14 19 "0"
9 16.2 "0"
25 26.7 "0"
10 24.3 "1"
23 20.2 "0"
7 7.8 "1"
11 6.9 "0"
12 17.6 "1"
23 24.2 "0"
17 25.1 "0"
10 13.1 "0"
4 11.5 "1"
20 21.5 "0"
15 19.6 "0"
6 4.2 "0"
26 26.7 "0"
5 10.1 "0"
27 25.6 "0"
5 3.6 "0"
14 15.1 "1"
16 17.5 "0"
14 23.3 "1"
6 7.3 "1"
11 7.5 "0"
24 23.6 "0"
18 19.5 "0"
17 12.6 "0"
14 17 "0"
8 13.9 "1"
17 25.4 "1"
2 8.5 "0"
18 20.1 "0"
8 7.8 "1"
18 15.5 "0"
15 14.8 "0"
9 10.5 "0"
11 19.2 "1"
13 24.3 "0"
6 7.8 "0"
19 22.8 "0"
15 16.2 "1"
8 8.6 "1"
18 17.4 "0"
13 21 "0"
12 18.4 "1"
8 6.2 "0"
13 14.8 "0"
12 6.8 "0"
14 20.6 "0"
10 15.8 "1"
8 6.9 "0"
18 20.9 "0"
7 13.2 "0"
18 16 "0"
